mention_text,lat,lon,valid
Miami University,25.714879989624023,-80.2770004272461,1
sample - Kigoma,-4.88615,29.63832,1
Fomich River area,-1,-1,0
Maurin A. Bernet-Rollande,43.909854888916016,0.1633410006761551,1
London,51.500152587890625,-0.12623600661754608,1
several different basins,-1,-1,0
Shitai Anhui,30.21026039123535,117.48619079589844,1
Krabbendam,52.73191452026367,4.703452110290527,1
Umra,29.03801727294922,75.90167999267578,1
northern part of the Sierra de Alcubierre,41.733001708984375,-0.4830000102519989,1
Rajasthan India,26.58432388305664,73.85012817382812,1
Betic Cordillera southern Spain,40.390106201171875,-3.554382085800171,1
Brasilia,-15.77938461303711,-47.92573928833008,1
Columbia University Press New York,40.80732727050781,-73.96176147460938,1
Laguna Negra Microbialites,-34.04622,-53.54892,1
North Pole,64.75033569335938,-147.35418701171875,1
Bach Germany Fumito Shiraishia,48.2847177659804,8.80252680941183,1
Kelly Lake British Columbia,55.252418518066406,-120.03472137451172,1
Guelph Guelph Ontario,43.54460144042969,-80.2477035522461,1
Newari and Bargwan,21.536762237548828,82.01243591308594,1
Argentinean Puna,-27.798627853393555,-62.51997375488281,1
Capitol Reef,38.178157806396484,-111.1768569946289,1
Ludlovia Hecetaphyton and Sphaerina,-1,-1,0
Craton Western Australia,-25.46647071838379,122.18177795410156,1
Vempalle and Tadpatri,14.90880012512207,77.97679901123047,1
Windjiana Gorge,-24.56668,25.98254,1
Alberta Waters  and Australia,-25.728103637695312,134.4901885986328,1
Paris Abstracts,48.856895446777344,2.350848913192749,1
Guangxi South China,44.38739776611328,-69.59387969970703,1
northern Fortescue group Pilbara craton,39.23859786987305,-75.1705551147461,1
group Irregularia Koroliuk,46.58264923095703,12.19087028503418,1
New South Wales Sydney Australia Received October,-33.873199462890625,151.2095947265625,1
Mikouloungou,-1,-1,0
Ridge,40.89373016357422,-72.8962631225586,1
South Carolina Columbia Columbia South Carolina United States of America Department,34.00928497314453,-81.03709411621094,1
Santi  Farno Mt. Oncolites,8.987283706665039,11.378893852233887,1
Leptolyngbya Greenland,74.75653076171875,-41.3934326171875,1
Caltanissetta Basin,37.48991,14.06329,1
Technology Organization Kirrawee DC,38.9047737121582,-77.01628875732422,1
southern Poland  in Bertrand-Sarfati J.,39.444091796875,-86.95076751708984,1
known Pilbara,-21.000038146972656,119.4999771118164,1
Paris Freyiet P,48.856895446777344,2.350848913192749,1
: International KalkowskySymposium Gottingen October,51.5326042175293,9.928442001342773,1
Lee Stocking Islands Bahamas,23.533000946044922,-75.76699829101562,1
Tanzania Icole,-6.266271114349365,34.81013107299805,1
Shark Bay and Lee Stocking Island,23.533000946044922,-75.76699829101562,1
E. Liaoning,41.292484283447266,122.61225128173828,1
Copper Harbor Conglomerate Upper Michigan,44.87479782104492,-85.7309799194336,1
did the Bitter Springs,36.6341667175293,-111.6512222290039,1
Venere Italy Cyp,43.51298,11.82783,1
Sayunei ` Mt.,47.03351974487305,-109.64512634277344,1
Chafetz,-1,-1,0
